Etiquetas de fila,NOMBRE DE PRODUCTO,Semiterminado,Descripción Semi,ABC anterior,Mínimo Producción,Inventario Semiterminado,ABC,MTO/ MTS,Relación latas a cajas, Marzo , Abril , Mayo , Junio , Julio , Agosto , Septiembre , Octubre , Noviembre , Diciembre , Enero , Febrero , Marzo , Abril 
200069,JALAPEÑO ESCAB CLEY 24/380 G,100010,Bote jalapeños 380,A," 121,920 "," 2,312,475 ",C,MTS,24, 400 , 363 , 280 , 401 , 401 , 395 , 468 , 425 , 481 , 484 , 507 , 200 , 400 , 363 
200082,JALAPEÑO ENTERO GOLDEN HILLS 24/380G,100010,Bote jalapeños 380,A," 121,920 "," 2,312,475 ",C,MTO,24, 54 , 58 , 58 , 70 , 70 , 166 , 163 , -   , -   , 103 , 96 , 78 , 54 , 58 
200002,WHOLE JALAP PEPPERS USA IMG ACT12/26 OZ,100011,Bote jalapeños 780,A," 129,600 "," 2,248,624 ",A,MTS,12," 19,260 "," 18,450 "," 16,110 "," 16,110 "," 16,110 "," 16,020 "," 15,120 "," 21,500 "," 21,500 "," 21,500 "," 21,500 "," 5,390 "," 18,810 "," 19,260 "
200007,WHOLE JALAP 12/26 90 CJ P/PAL DISP CALIF,100011,Bote jalapeños 780,A," 129,600 "," 2,248,624 ",A,MTS,90," 7,470 "," 10,500 "," 9,360 "," 9,360 "," 7,380 "," 7,200 "," 8,100 "," 10,500 "," 10,500 "," 10,500 "," 10,500 "," 9,600 "," 9,450 "," 8,280 "
200008,Whole Jalap Peper 12/26 90 CJ P/PAL DISP,100011,Bote jalapeños 780,A," 129,600 "," 2,248,624 ",A,MTS,90," 4,230 "," 3,600 "," 3,600 "," 5,310 "," 5,760 "," 6,120 "," 4,950 "," 4,500 "," 3,000 "," 3,000 "," 2,700 "," 4,860 "," 9,000 "," 4,230 "
200015,WHOLE JALAP PEPPERS CALIFORNIA 12/26 OZ,100011,Bote jalapeños 780,A," 129,600 "," 2,248,624 ",A,MTS,12," 4,410 "," 6,000 "," 4,410 "," 2,700 "," 2,430 "," 2,160 "," 2,070 "," 6,000 "," 6,000 "," 6,000 "," 6,000 "," 6,000 "," 4,320 "," 2,700 "
200019,JALAPEÑO ESCABEC SM 12/780 G,100011,Bote jalapeños 780,A," 129,600 "," 2,248,624 ",A,MTS,12," 5,857 "," 4,889 "," 5,111 "," 5,271 "," 5,471 "," 5,120 "," 6,797 "," 7,963 "," 6,025 "," 7,428 "," 5,744 "," 3,684 "," 5,857 "," 4,889 "
200050,JALAPEÑO ESCABEC SM 12/780 G CTWW,100011,Bote jalapeños 780,A," 129,600 "," 2,248,624 ",C,MTO,12, 627 , -   , -   , -   , -   , 627 , -   , -   , -   , -   , -   , -   , 627 , -   
200081,JALAPEÑO ESCAB CLEY 12/780 G,100011,Bote jalapeños 780,A," 129,600 "," 2,248,624 ",C,MTS,12, 150 , 173 , 133 , 191 , 191 , 147 , 199 , 107 , 155 , 176 , 260 , 80 , 150 , 173 
200085,JALAPEÑO ENTERO GOLDEN HILLS 12/780G,100011,Bote jalapeños 780,A," 129,600 "," 2,248,624 ",C,MTO,12, -   , 40 , 40 , 50 , 50 , 299 , 293 , -   , -   , -   , -   , 44 , -   , 40 
200098,WHOLE JALAP PEPPERS 12/26 OZ CNHI,100011,Bote jalapeños 780,A," 129,600 "," 2,248,624 ",C,MTO,12, -   , -   , 100 , -   , -   , 100 , -   , -   , 100 , -   , 100 , 100 , -   , -   
200105,WHOLE JALAP PEPER Calif 12/26OZhalf pall,100011,Bote jalapeños 780,A," 129,600 "," 2,248,624 ",C,MTO,12, -   , 344 , -   , -   , -   , -   , -   ," 1,566 ", -   , -   , -   , -   , -   , -   
200057,ROD JALAP NACH MLHR 24/215G CAML,100012,Bote rajas verdes 215 - Bajo en sodio,C," 216,000 ", 40 ,B,MTO,24, 415 , 830 , 830 , 415 , 415 , 830 , 830 , 415 , 415 , 415 , 415 , -   , 415 , 830 
